geo,traffic_deaths_men_per_100000_people,traffic_deaths_per_100000_people,traffic_deaths_women_per_100000_people,traffic_mortality_15_29_per_100000_people,traffic_mortality_30_44_per_100000_people,traffic_mortality_45_59_per_100000_people,traffic_mortality_60plus_per_100000_people,traffic_mortality_children_0_14_per_100000_people,year
AUS,37.48,22.31,7.044,36.63,19.17,19.7,32.23,8.441,1950
AUS,42.44,25.58,8.594,41.16,22.63,20.69,43.59,8.075,1951
AUS,40.55,24.83,8.879,39.99,20.84,22.92,38.55,8.706,1952
AUS,37.27,23.01,8.541,36.66,19.18,21.13,35.74,8.631,1953
AUS,38.36,24.26,9.818,38.45,19.22,22.3,39.6,9.174,1954
AUS,40,24.77,9.123,39.55,20.06,24.11,38.82,8.667,1955
AUS,38.52,24.64,10.48,37.12,19.83,23.52,42.52,9.312,1956
AUS,39.89,24.94,9.647,35.98,22.33,25.02,41.49,9.045,1957
AUS,39.65,24.98,10.32,37.88,20.5,25.6,42.85,7.949,1958
AUS,39.67,25.26,10.76,37.05,23.9,24.84,41.06,8.317,1959
AUS,40.57,26.86,13.07,39.66,22.7,27.27,45.93,9.261,1960
AUS,39.81,25.74,11.54,36.41,21.11,26.65,47.56,8.935,1961
AUS,39.81,25.71,11.67,38.2,22.98,23.87,46.36,7.882,1962
AUS,39.22,25.28,11.38,36.05,20.89,26.76,46.24,8.24,1963
AUS,41.56,27.4,13.26,39.46,24.19,29.31,44.78,9.542,1964
AUS,43.32,28.55,13.74,42.61,23.89,29.85,48.31,9.279,1965
AUS,42.69,28.85,14.76,45.35,24.63,28.92,43.9,9.846,1966
AUS,43.56,28.7,14.06,45.21,23.06,28.56,46.08,9.885,1967
AUS,44.34,29.15,13.9,49.27,24.45,27.54,41.88,9.201,1968
AUS,44.86,30.34,15.79,47.11,26.33,29.9,46.39,10.74,1969
AUS,47.12,31.72,16.39,52.89,24.7,31.01,46.65,11.12,1970
AUS,46,30.28,14.67,53.85,24.28,26.49,40.48,10.62,1971
AUS,40.75,27.57,14.41,46.96,20.55,25.84,39.16,10.78,1972
AUS,43.35,29.11,14.84,50.77,22.54,25.06,41.57,10.86,1973
AUS,42.23,28.46,14.79,50.94,21.14,25.31,39.92,9.937,1974
AUS,41.39,27.35,13.29,48.6,22.95,23.02,35.5,9.833,1975
AUS,38.05,25.67,13.34,45.5,20.23,21.18,34.63,10.09,1976
AUS,39.79,26.72,13.8,49.62,19.94,22.35,34.79,9.676,1977
AUS,38.49,26.43,14.33,49.47,19.8,22.28,33.21,9.568,1978
AUS,36.11,24.59,13.27,45.48,19.47,19.73,31.47,8.934,1979
AUS,34.7,23.56,12.44,43.64,18.52,17.91,30.08,9.235,1980
AUS,32.57,21.76,11.16,41.08,17.65,17.75,25.62,7.607,1981
AUS,32.01,21.41,10.89,40.61,16.51,16.65,25.44,8.399,1982
AUS,26.16,17.89,9.668,35.03,12.79,13.64,21.5,6.839,1983
AUS,25.82,18.1,10.52,33.55,13.97,13.9,22.74,7.368,1984
AUS,26.96,18.59,10.17,35.08,15.1,14.9,21.88,6.643,1985
AUS,25.75,17.87,10.09,33.67,14.45,13.64,20.63,7.099,1986
AUS,23.87,16.75,9.724,31.36,14.29,12.5,20.7,5.795,1987
AUS,24.55,17.11,9.733,32.45,13.36,13.64,22.07,5.579,1988
AUS,23.88,16.68,9.561,30.8,15.3,12.58,19.63,5.656,1989
AUS,19.28,13.54,7.89,24.75,11.14,10.12,17.81,5.081,1990
AUS,17.48,12.17,6.901,22.03,10.28,9.992,16.31,3.854,1991
AUS,15.83,11.29,6.814,20.16,10.2,8.785,14.64,3.828,1992
AUS,15.6,10.8,6.05,19.63,10.46,8.156,12.72,3.498,1993
AUS,14.85,10.54,6.318,18.66,9.252,8.34,14.9,3.276,1994
AUS,14.72,10.39,6.164,18.63,9.701,8.082,13.56,3.157,1995
AUS,15.32,10.48,5.709,18.23,10.33,8.225,13.34,3.359,1996
AUS,13.1,9.341,5.613,17.18,9.33,6.661,10.99,2.849,1997
AUS,13.07,9.119,5.198,16.28,8.478,7.506,11.48,2.8,1998
AUS,12.98,9.096,5.299,16.57,8.791,6.571,12.1,2.473,1999
AUS,13.45,9.282,5.18,17.1,9.409,7.019,10.55,2.617,2000
AUS,13.1,8.77,4.475,15.89,8.732,7.34,11.05,1.926,2001
AUS,12.59,8.503,4.433,15.44,9.46,7.12,8.938,1.828,2002
AUS,11.25,7.644,4.031,13.19,7.992,6.131,8.943,2.468,2003
AUS,10.44,7.102,3.799,12.8,7.119,6.201,8.389,1.684,2004
AUS,NA,NA,NA,NA,NA,NA,NA,NA,2005
AUS,NA,6.464,NA,11.48,7.518,5.212,6.92,1.437,2006
AUS,NA,7.6,NA,NA,NA,NA,NA,NA,2007
AUS,NA,NA,NA,NA,NA,NA,NA,NA,2008
